City,Type,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
Taunton,Bus,0,0,0,0,0,0,0,2,4,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0
Taunton,Motorcycle,0,1,0,0,0,0,0,1,0,0,0,0,2,4,2,2,1,1,2,2,0,1,0,1
Taunton,MOPED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Taunton,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
Taunton,Not Reported,1,0,0,0,0,0,0,0,0,2,2,3,1,1,2,1,1,1,0,0,1,1,1,0
Taunton,Unknown Vehicle Configuration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taunton,Single-unit truck,0,0,0,0,0,2,2,3,3,1,1,3,2,2,6,1,3,2,0,0,0,0,0,1
Taunton,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taunton,Trucktrailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
Waltham,Passenger car,25,24,6,10,8,8,34,106,121,106,84,99,93,114,108,96,109,174,129,62,46,44,38,25
Waltham,Light Truck,4,3,4,1,1,1,3,8,17,14,14,10,9,16,18,27,25,32,21,13,8,5,3,4
Waltham,Bus,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Waltham,Motorcycle,0,0,0,0,0,1,0,0,1,2,0,1,0,1,1,2,4,0,2,0,0,1,0,1
Waltham,MOPED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waltham,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
Waltham,Not Reported,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Waltham,Unknown Vehicle Configuration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Waltham,Single-unit truck,0,0,0,0,0,0,0,1,7,3,2,2,7,3,4,5,0,2,1,0,0,0,2,0
Waltham,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waltham,Trucktrailer,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0
Worcester,Passenger car,142,114,90,47,30,43,87,189,289,235,245,283,365,367,355,380,363,377,263,186,151,153,126,145
Worcester,Light Truck,52,27,41,20,11,23,42,108,137,109,91,123,186,126,143,167,211,149,133,81,58,59,56,43
Worcester,Bus,0,1,0,0,1,1,2,4,6,4,5,4,1,5,7,11,5,1,2,1,0,1,0,0
Worcester,Motorcycle,0,0,0,0,0,1,2,0,1,2,1,0,7,5,1,5,10,10,4,6,4,1,2,1
Worcester,MOPED,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,1,0,1,1,1,0
Worcester,Other,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Worcester,Not Reported,16,9,18,3,3,6,6,11,16,7,6,12,45,25,23,17,19,18,9,11,19,14,8,13
Worcester,Unknown Vehicle Configuration,5,7,5,2,2,1,1,8,8,11,10,14,36,25,6,8,8,10,8,4,4,2,8,3
Worcester,Single-unit truck,0,1,0,1,0,3,1,3,11,7,7,4,11,8,5,9,12,5,3,2,0,1,0,0
Worcester,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Worcester,Trucktrailer,0,1,2,0,0,0,0,1,7,2,2,2,3,2,0,2,1,4,2,1,2,1,1,0
