City,Street,Time,value
Brookline,WASHINGTON STREET,7 AM,0
Brookline,WASHINGTON STREET,8 AM,0
Brookline,WASHINGTON STREET,9 AM,1
Brookline,WASHINGTON STREET,10 AM,0
Brookline,WASHINGTON STREET,11 AM,1
Brookline,WASHINGTON STREET,12 PM,1
Brookline,WASHINGTON STREET,1 PM,0
Brookline,WASHINGTON STREET,2 PM,0
Brookline,WASHINGTON STREET,3 PM,1
Brookline,WASHINGTON STREET,4 PM,2
Brookline,WASHINGTON STREET,5 PM,0
Brookline,WASHINGTON STREET,6 PM,0
Brookline,WASHINGTON STREET,7 PM,0
Brookline,WASHINGTON STREET,8 PM,0
Brookline,WASHINGTON STREET,9 PM,0
Brookline,WASHINGTON STREET,10 PM,1
Brookline,WASHINGTON STREET,11 PM,8
Brookline,HORACE JAMES CIRCLE,12 AM,0
Brookline,HORACE JAMES CIRCLE,1 AM,0
Brookline,HORACE JAMES CIRCLE,2 AM,0
Brookline,HORACE JAMES CIRCLE,3 AM,0
Brookline,HORACE JAMES CIRCLE,4 AM,0
Brookline,HORACE JAMES CIRCLE,5 AM,1
Brookline,HORACE JAMES CIRCLE,6 AM,0
Brookline,HORACE JAMES CIRCLE,7 AM,0
Brookline,HORACE JAMES CIRCLE,8 AM,0
Brookline,HORACE JAMES CIRCLE,9 AM,1
Brookline,HORACE JAMES CIRCLE,10 AM,0
Brookline,HORACE JAMES CIRCLE,11 AM,0
Brookline,HORACE JAMES CIRCLE,12 PM,0
Brookline,HORACE JAMES CIRCLE,1 PM,2
Brookline,HORACE JAMES CIRCLE,2 PM,0
Brookline,HORACE JAMES CIRCLE,3 PM,2
Brookline,HORACE JAMES CIRCLE,4 PM,0
Brookline,HORACE JAMES CIRCLE,5 PM,0
Brookline,HORACE JAMES CIRCLE,6 PM,1
Brookline,HORACE JAMES CIRCLE,7 PM,0
Brookline,HORACE JAMES CIRCLE,8 PM,0
Brookline,HORACE JAMES CIRCLE,9 PM,0
Brookline,HORACE JAMES CIRCLE,10 PM,0
Brookline,HORACE JAMES CIRCLE,11 PM,7
Brookline,VETERANS OF FOREIGN WARS PARKWAY,12 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,1 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,2 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,3 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,4 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,5 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,6 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,7 AM,1
Brookline,VETERANS OF FOREIGN WARS PARKWAY,8 AM,1
Brookline,VETERANS OF FOREIGN WARS PARKWAY,9 AM,1
Brookline,VETERANS OF FOREIGN WARS PARKWAY,10 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,11 AM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,12 PM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,1 PM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,2 PM,1
Brookline,VETERANS OF FOREIGN WARS PARKWAY,3 PM,1
Brookline,VETERANS OF FOREIGN WARS PARKWAY,4 PM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,5 PM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,6 PM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,7 PM,1
Brookline,VETERANS OF FOREIGN WARS PARKWAY,8 PM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,9 PM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,10 PM,0
Brookline,VETERANS OF FOREIGN WARS PARKWAY,11 PM,6
Brookline,SAINT PAUL STREET,12 AM,1
Brookline,SAINT PAUL STREET,1 AM,0
Brookline,SAINT PAUL STREET,2 AM,0
Brookline,SAINT PAUL STREET,3 AM,0
Brookline,SAINT PAUL STREET,4 AM,0
Brookline,SAINT PAUL STREET,5 AM,0
Brookline,SAINT PAUL STREET,6 AM,0
Brookline,SAINT PAUL STREET,7 AM,0
Brookline,SAINT PAUL STREET,8 AM,0
Brookline,SAINT PAUL STREET,9 AM,1
