City,Street,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
Somerville,Rte 93 N,1,,,,,2,,1,,,1,,,2,,,,1,1,2,,1,,
Somerville,MCGRATH HIGHWAY Rte 28 N ,2,,,,,,,,,,,,4,,,1,,,,1,2,,,1
Springfield,BOSTON RD,,,2,,,1,,,3,6,2,11,12,11,2,14,17,11,11,6,5,4,3,
Springfield,STATE ST ,4,3,2,,1,1,3,4,4,5,3,5,9,7,12,10,13,6,6,5,4,4,1,1
Springfield,SUMNER AVE ,1,2,,,,1,3,5,3,3,4,2,2,12,7,6,8,6,10,2,2,1,3,3
Springfield,MAIN ST ,1,5,2,2,,,1,3,3,3,6,5,6,1,4,8,4,5,2,1,,1,3,5
Springfield,WILBRAHAM RD,3,,1,,1,1,,,1,1,2,2,2,2,6,9,8,5,2,4,1,3,2,1
Springfield,ALLEN ST ,4,1,2,,1,,2,2,8,4,1,3,3,,3,3,5,1,1,2,1,2,1,3
Springfield,Rte 91 N,2,1,2,1,1,2,1,4,1,1,2,1,2,3,2,2,3,4,1,4,2,2,1,2
Springfield,CAREW ST ,1,2,,1,1,,1,1,2,,2,2,2,4,7,4,4,1,5,3,1,,,3
Springfield,PARKER ST ,2,,,,,1,1,3,,,2,1,1,3,2,7,8,4,3,2,1,3,1,
Springfield,PAGE BLVD ,,2,2,2,1,1,3,,1,1,2,1,3,1,6,2,4,4,,1,2,2,,1
Taunton,COUNTY ST,,,,,,,1,3,,,,4,,3,4,2,1,3,,,1,,1,
Taunton,TREMONT ST,,1,,,1,,,1,,2,2,2,,3,2,,2,,1,2,1,1,1,
Taunton,BAY ST ,,,,,,,,3,1,,1,,3,1,3,2,2,3,,,1,2,,
Taunton,BROADWAY,,,1,,,,,,1,,2,3,4,,1,,2,3,1,,,1,,2
Taunton,WINTHROP ST,,,,,,,,2,,,1,1,1,1,2,1,4,1,2,,1,,,1
Taunton,Rte 140 N ,,,,1,,1,1,,,,1,,2,,2,2,,2,,,,,1,
Taunton,WASHINGTON ST ,,,,,,,,,1,2,1,1,,,,3,2,1,1,,1,,,
Taunton,Rte 24 S ,1,1,,,,,,,,,,,1,,1,1,4,2,,,,,1,
Taunton,COHANNET ST,,,,,,,,,,2,,,1,1,,,1,1,1,1,,,,1
Taunton,Rte 140 S ,,1,3,,,,,,,,,1,,,,,,,3,,1,,,
Waltham,LEXINGTON ST,,,,,,,1,3,3,1,1,5,2,2,5,5,4,5,2,1,2,2,2,1
Waltham,MAIN ST,,,,,,1,1,3,3,,7,3,4,3,4,1,3,3,6,1,,1,1,1
Waltham,Rte 95 S ,,,,1,2,,1,2,,1,1,3,,3,,3,,5,5,2,1,,1,
Waltham,Rte 95 N ,,2,,,,,,2,1,2,,,2,,2,3,2,3,4,1,,,,
Waltham,MOODY ST,1,1,,,,,,2,,1,2,1,,1,1,,1,1,4,,2,2,1,1
Waltham,HIGH ST ,1,,1,1,,,1,,1,1,,,1,,,,4,2,3,1,,1,,
Waltham,SOUTH ST,,,,,,,,2,,2,1,1,2,1,,1,1,1,2,1,1,1,,
Waltham,BACON ST ,,,,,,1,,2,,,1,,1,4,,1,2,1,2,,,,1,1
Waltham,WAVERLEY OAKS RD,1,,,,1,,,,,2,,2,,1,2,1,3,,1,1,,,1,
Waltham,TRAPELO RD,1,,,,1,1,,,1,3,,,1,1,2,2,,1,,,,,,
Worcester,MAIN STREET ,5,4,1,1,3,1,1,6,6,6,5,5,5,8,6,11,13,12,7,8,7,2,5,4
Worcester,PARK AVENUE,6,2,,,,,,4,1,,5,7,9,2,8,10,8,8,4,6,,2,4,3
Worcester,BELMONT STREET ,1,1,2,3,,1,,4,4,5,5,1,6,4,7,3,7,9,5,4,4,2,2,1
Worcester,CHANDLER STREET ,2,,2,2,,1,,5,1,5,4,5,7,9,5,4,4,8,2,4,2,2,5,1
Worcester,GRAFTON STREET ,1,3,,1,,1,,1,4,2,3,3,9,2,6,2,4,5,7,5,3,3,3,1
Worcester,LINCOLN STREET,3,,,,,,2,2,2,,3,7,6,7,5,7,6,6,3,1,3,2,2,1
Worcester,HIGHLAND STREET ,2,,,1,,1,2,1,5,2,3,5,6,3,3,4,8,5,5,1,3,2,1,2
Worcester,CHANDLER STREET,,3,2,,2,,1,,2,2,2,6,6,3,5,3,2,4,4,1,5,1,4,2
Worcester,PLEASANT STREET ,2,1,1,1,1,2,2,2,4,3,4,4,5,3,4,3,,2,5,1,3,3,,3
Worcester,CAMBRIDGE STREET ,1,,,,,,3,1,1,2,3,3,2,6,2,7,7,2,5,4,3,1,1,2
